,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
0,Nardaran q.,3 otaqlı,3/4 mərtəbə,110 m²,375 000,AZN,2024-02-18,Təmirsiz,Çıxarış var
1,Həzi Aslanov m.,2 otaqlı,2/19 mərtəbə,85 m²,198 000,AZN,2024-11-19,Təmirli,Çıxarış var
2,Nardaran q.,2 otaqlı,4/7 mərtəbə,93.7 m²,446 012,AZN,2024-07-04,Təmirli,Müqavilə
3,İçəri Şəhər m.,8 otaqlı,11/14 mərtəbə,584 m²,1 985 000,AZN,2024-10-24,Təmirsiz,Çıxarış var
4,Nəsimi r.,4 otaqlı,4/20 mərtəbə,191 m²,440 000,AZN,2024-11-04,Təmirsiz,Müqavilə
5,Nizami m.,4 otaqlı,10/16 mərtəbə,220 m²,679 800,AZN,2024-11-04,Təmirsiz,Müqavilə
6,Hövsan q.,4 otaqlı,4/9 mərtəbə,100 m²,118 000,AZN,2024-08-24,Təmirli,Çıxarış var
7,Hövsan q.,2 otaqlı,4/7 mərtəbə,52 m²,87 000,AZN,2024-11-23,Təmirli,Çıxarış var
8,Nəsimi r.,2 otaqlı,6/12 mərtəbə,75 m²,189 000,AZN,2024-06-04,Təmirsiz,Çıxarış var
9,20 Yanvar m.,3 otaqlı,10/14 mərtəbə,105 m²,256 500,AZN,2024-04-30,Təmirli,Müqavilə
10,Gənclik m.,2 otaqlı,6/16 mərtəbə,66 m²,210 000,AZN,2024-10-05,Təmirli,Çıxarış var
11,Azadlıq Prospekti m.,2 otaqlı,10/16 mərtəbə,65 m²,160 000,AZN,2024-11-12,Təmirli,Çıxarış var
12,Nizami m.,1 otaqlı,13/16 mərtəbə,72 m²,228 240,AZN,2024-11-02,Təmirsiz,Müqavilə
13,Nizami m.,3 otaqlı,14/16 mərtəbə,163 m²,502 040,AZN,2024-11-06,Təmirsiz,Müqavilə
14,Böyükşor q.,3 otaqlı,3/15 mərtəbə,183 m²,272 000,AZN,2024-11-23,Təmirsiz,Çıxarış var
15,Dərnəgül m.,1 otaqlı,18/18 mərtəbə,30 m²,79 000,AZN,2024-11-23,Təmirli,Müqavilə
16,İnşaatçılar m.,2 otaqlı,17/23 mərtəbə,72 m²,240 000,AZN,2024-11-23,Təmirli,Çıxarış var
17,8 Noyabr m.,3 otaqlı,16/20 mərtəbə,95 m²,300 000,AZN,2024-11-23,Təmirli,Çıxarış var
18,Yeni Yasamal q.,2 otaqlı,13/15 mərtəbə,65 m²,155 000,AZN,2024-11-03,Təmirli,Çıxarış var
19,Şah İsmayıl Xətai m.,3 otaqlı,10/18 mərtəbə,116 m²,320 000,AZN,2024-11-23,Təmirli,Çıxarış var
20,20 Yanvar m.,3 otaqlı,10/17 mərtəbə,127 m²,278 000,AZN,2024-07-24,Təmirli,Çıxarış var
21,İnşaatçılar m.,2 otaqlı,15/17 mərtəbə,102 m²,203 000,AZN,2024-11-20,Təmirli,Çıxarış var
22,Xətai r.,2 otaqlı,5/21 mərtəbə,45 m²,127 000,AZN,2024-11-18,Təmirli,Çıxarış var
23,Həzi Aslanov m.,3 otaqlı,3/20 mərtəbə,64 m²,122 800,AZN,2024-09-04,Təmirli,Çıxarış var
24,Həzi Aslanov m.,1 otaqlı,16/17 mərtəbə,50 m²,110 000,AZN,2024-09-14,Təmirli,Çıxarış var
25,Nərimanov r.,2 otaqlı,7/17 mərtəbə,113.1 m²,242 000,AZN,2024-11-01,Təmirsiz,Müqavilə
26,Həzi Aslanov m.,3 otaqlı,16/17 mərtəbə,105 m²,186 000,AZN,2024-11-18,Təmirli,Çıxarış var
27,Şah İsmayıl Xətai m.,4 otaqlı,8/22 mərtəbə,140 m²,350 000,AZN,2024-11-12,Təmirli,Çıxarış var
28,8-ci kilometr q.,3 otaqlı,5/18 mərtəbə,80 m²,210 000,AZN,2024-11-05,Təmirli,Müqavilə
29,Nardaran q.,2 otaqlı,5/7 mərtəbə,105.4 m²,627 130,AZN,2024-07-04,Təmirli,Müqavilə
30,Nizami m.,4 otaqlı,8/15 mərtəbə,190 m²,570 000,AZN,2024-11-14,Təmirsiz,Müqavilə
31,Şah İsmayıl Xətai m.,3 otaqlı,17/20 mərtəbə,100 m²,267 000,AZN,2024-11-20,Təmirli,Çıxarış var
32,Nardaran q.,2 otaqlı,5/8 mərtəbə,73 m²,417 000,AZN,2024-09-11,Təmirli,Müqavilə
33,Xətai r.,1 otaqlı,7/18 mərtəbə,45 m²,107 000,AZN,2024-10-14,Təmirli,Çıxarış var
34,Xətai r.,2 otaqlı,5/19 mərtəbə,55 m²,156 000,AZN,2024-10-05,Təmirli,Çıxarış var
35,Əhmədli m.,2 otaqlı,6/19 mərtəbə,70 m²,123 000,AZN,2024-10-29,Təmirli,Çıxarış var
36,Xətai r.,3 otaqlı,17/20 mərtəbə,100 m²,215 000,AZN,2024-04-19,Təmirli,Çıxarış var
37,Yeni Günəşli q.,2 otaqlı,17/18 mərtəbə,56 m²,113 000,AZN,2024-11-23,Təmirli,Çıxarış var
38,Nəsimi r.,4 otaqlı,3/17 mərtəbə,154.5 m²,417 150,AZN,2023-10-03,Təmirsiz,Çıxarış var
39,Nəsimi r.,3 otaqlı,15/17 mərtəbə,123 m²,393 600,AZN,2023-10-03,Təmirsiz,Çıxarış var
40,Nəsimi r.,2 otaqlı,16/17 mərtəbə,97.6 m²,312 320,AZN,2023-10-03,Təmirsiz,Çıxarış var
41,Nəsimi r.,2 otaqlı,16/17 mərtəbə,93.6 m²,299 520,AZN,2023-10-03,Təmirsiz,Çıxarış var
42,Nəsimi r.,3 otaqlı,16/17 mərtəbə,123 m²,393 600,AZN,2023-10-03,Təmirsiz,Çıxarış var
43,Nəsimi r.,2 otaqlı,14/17 mərtəbə,97.6 m²,302 560,AZN,2023-10-03,Təmirsiz,Çıxarış var
44,20 Yanvar m.,1 otaqlı,7/20 mərtəbə,31 m²,93 000,AZN,2024-11-23,Təmirli,Çıxarış var
45,Hövsan q.,3 otaqlı,6/12 mərtəbə,77 m²,105 000,AZN,2024-11-23,Təmirli,Çıxarış var
46,Nardaran q.,2 otaqlı,2/4 mərtəbə,120 m²,612 000,AZN,2024-11-04,Təmirli,Müqavilə
47,Nizami m.,4 otaqlı,11/18 mərtəbə,167 m²,399 000,AZN,2024-11-09,Təmirli,Çıxarış var
48,Nəsimi r.,2 otaqlı,5/18 mərtəbə,88 m²,290 000,AZN,2024-11-10,Təmirli,Çıxarış var
49,Gənclik m.,4 otaqlı,11/13 mərtəbə,295 m²,849 900,AZN,2023-09-18,Təmirli,Çıxarış var
50,Həzi Aslanov m.,3 otaqlı,9/16 mərtəbə,133 m²,260 000,AZN,2024-09-11,Təmirli,Çıxarış var
51,Həzi Aslanov q.,3 otaqlı,5/16 mərtəbə,100 m²,200 000,AZN,2024-10-01,Təmirli,Müqavilə
52,Əhmədli m.,2 otaqlı,4/7 mərtəbə,52.3 m²,115 000,AZN,2024-11-15,Təmirli,Müqavilə
53,Yeni Günəşli q.,2 otaqlı,2/9 mərtəbə,60 m²,110 000,AZN,2024-11-19,Təmirli,Çıxarış var
54,Nəsimi r.,4 otaqlı,11/18 mərtəbə,205 m²,720 400,AZN,2024-11-08,Təmirli,Çıxarış var
55,Abşeron r.,3 otaqlı,4/8 mərtəbə,58 m²,105 000,AZN,2024-11-23,Təmirli,Çıxarış var
56,Nizami m.,4 otaqlı,8/15 mərtəbə,190 m²,570 000,AZN,2024-11-14,Təmirsiz,Müqavilə
57,Yeni Yasamal q.,2 otaqlı,15/16 mərtəbə,100.7 m²,133 000,AZN,2024-10-04,Təmirsiz,Müqavilə
58,Ağ şəhər q.,3 otaqlı,16/21 mərtəbə,120 m²,750 000,AZN,2024-10-17,Təmirli,Müqavilə
59,İnşaatçılar m.,2 otaqlı,2/18 mərtəbə,58 m²,119 000,AZN,2024-11-20,Təmirli,Müqavilə
60,Nizami m.,4 otaqlı,5/10 mərtəbə,200 m²,495 000,AZN,2023-05-07,Təmirli,Çıxarış var
61,Masazır q.,2 otaqlı,5/6 mərtəbə,42 m²,32 000,AZN,2024-11-22,Təmirsiz,Müqavilə
62,Nəsimi r.,4 otaqlı,17/17 mərtəbə,194.5 m²,622 400,AZN,2023-10-03,Təmirsiz,Çıxarış var
63,Nəsimi r.,2 otaqlı,17/17 mərtəbə,97.6 m²,312 320,AZN,2023-10-03,Təmirsiz,Çıxarış var
64,Nəsimi r.,4 otaqlı,17/17 mərtəbə,148.9 m²,476 480,AZN,2023-10-03,Təmirsiz,Çıxarış var
65,Nəsimi r.,4 otaqlı,17/17 mərtəbə,194.5 m²,622 400,AZN,2023-10-03,Təmirsiz,Çıxarış var
66,Nəsimi r.,2 otaqlı,17/17 mərtəbə,93.6 m²,299 520,AZN,2023-10-03,Təmirsiz,Çıxarış var
